PlotID,PI,Height_cm,TotalWetWeight_kg,WetWeightPanicle_kg,WetStemWeight_kg,WetLeafWeight_kg,DryPanicleWeight_kg,DryLeafWeight_kg,DryStalkWeight_kg,TotalDryWeight_kg
337,526900,320,2.73,0.02,2.41,0.3,0.012,0.112,0.59,0.714
769,527040,294,2.12,NaN,1.69,0.43,NaN,0.149,0.42,0.569
817,534000,185,0.99,0.28,0.61,0.1,0.173,0.054,0.21,0.437
1157,144130,375,2.31,NaN,1.92,0.39,NaN,0.112,0.23,0.342
773,145620,277,2.08,NaN,1.58,0.5,NaN,0.133,0.34,0.473
777,145630,262,2.75,0.09,2.22,0.44,0.021,0.149,0.52,0.69
541,145630,217,1.37,0.21,0.92,0.24,0.09,0.108,0.26,0.458
629,145630,67,0.62,0.17,0.39,0.06,0.109,0.039,0.08,0.228
153,146890,235,0.77,NaN,0.66,0.11,NaN,0.073,0.12,0.193
969,152690,102,1.04,0.05,0.47,0.52,0.05,0.056,0.14,0.246
365,152730,332,3.15,NaN,2.62,0.53,NaN,0.183,0.54,0.723
73,152730,178,0.86,0.21,0.6,0.05,NaN,0.013,0.19,0.203
1433,152730,139,0.56,0.08,0.45,0.03,0.059,0.021,0.13,0.21
565,152750,189,1.52,0.11,1.25,0.16,0.087,0.068,0.4,0.555
1397,152770,262,1.58,NaN,1.2,0.38,NaN,0.129,0.28,0.409
525,152820,112,0.92,0.18,0.64,0.1,0.156,0.032,0.16,0.348
1105,152830,203,1.25,NaN,1,0.25,NaN,0.091,0.16,0.251
977,152860,222,2,0.13,1.61,0.26,0.083,0.085,0.45,0.618
1017,152860,122,0.47,0.08,0.34,0.05,0.079,0.007,0.24,0.326
1077,152920,136,0.62,NaN,0.44,0.18,NaN,0.057,0.07,0.127
657,152960,135,0.63,0.13,0.35,0.15,0.13,0.038,0.14,0.308
1041,152960,307,1.76,0.02,1.51,0.23,0.012,0.112,0.39,0.514
589,152960,173,0.88,0.17,0.65,0.06,0.101,0.037,0.17,0.308
1353,152970,230,3.16,NaN,2.47,0.69,NaN,0.182,0.51,0.692
1033,152970,239,1.24,0.18,0.96,0.1,0.125,0.032,0.28,0.437
1065,152970,209,1.27,0.06,1.11,0.1,0.021,0.035,0.31,0.366
693,153880,303,2.19,NaN,1.87,0.32,NaN,0.165,0.38,0.545
1213,154750,309,1.49,0.15,1.3,0.04,0.056,0.039,0.46,0.555
229,154840,205,2.14,NaN,1.8,0.34,NaN,0.108,0.22,0.328
573,154850,269,1.11,NaN,1.08,0.03,NaN,0.024,0.3,0.324
1029,154940,252,1.51,NaN,1.17,0.34,NaN,0.127,0.25,0.377
661,154990,95,0.6,0.09,0.42,0.09,0.065,0.053,0.11,0.228
1129,155150,285,1.58,0.09,1.22,0.27,0.034,0.063,0.33,0.427
469,155520,212,1.77,0.04,1.35,0.38,0.04,0.09,0.56,0.69
397,155760,214,1.32,NaN,1.13,0.19,NaN,0.107,0.34,0.447
1481,155880,335,1.69,0.11,1.4,0.18,0.037,0.092,0.52,0.649
185,156200,226,1.35,NaN,1.05,0.3,NaN,0.096,0.19,0.286
501,156220,382,1.54,0.05,1.27,0.22,0.02,0.119,0.45,0.589
1137,156270,316,2.21,NaN,1.71,0.5,NaN,0.177,0.43,0.607
129,156330,317,2.17,NaN,1.84,0.33,NaN,0.122,0.47,0.592
