V1	V2	V3	V4	V5	V6	V7
1	sbi03015	mRNA surveillance pathway 	Sb01g000357	Sobic.001G002700	PPP1C	K06269	EC:3.1.3.16
5	sbi03010	Ribosome 	Sb01g002595	Sobic.001G027600	RP-L18	K02881	-
6	sbi03040	Spliceosome 	Sb01g002670	Sobic.001G028200	SNRNP200	K12854	EC:3.6.4.13
10	sbi03010	Ribosome 	Sb01g003200	Sobic.001G034200	RP-L36e	K02920	-
11	sbi00100	Steroid biosynthesis 	Sb01g004290	Sobic.001G046500	E2.1.1.41	K00559	EC:2.1.1.41
12	sbi00100	Steroid biosynthesis 	Sb01g004280	Sobic.001G046500	E2.1.1.41	K00559	EC:2.1.1.41
13	sbi00100	Steroid biosynthesis 	Sb01g004295	Sobic.001G046600	E2.1.1.41	K00559	EC:2.1.1.41
15	sbi00100	Steroid biosynthesis 	Sb01g004310	Sobic.001G046700	E2.1.1.41	K00559	EC:2.1.1.41
16	sbi00270	Cysteine and methionine metabolism 	Sb01g005082	Sobic.001G055700	DNMT1	K00558	EC:2.1.1.37
17	sbi01230	Biosynthesis of amino acids 	Sb01g005160	Sobic.001G056600	trpA	K01695	EC:4.2.1.20
18	sbi00260	Glycine, serine and threonine metabolism 	Sb01g005160	Sobic.001G056600	trpA	K01695	EC:4.2.1.20
19	sbi00400	Phenylalanine, tyrosine and tryptophan biosynthesis 	Sb01g005160	Sobic.001G056600	trpA	K01695	EC:4.2.1.20
76	sbi03010	Ribosome 	Sb02g014260	Sobic.001G403500	RP-S9e	K02997	-
107	sbi04626	Plant-pathogen interaction 	Sb09g001743	Sobic.001G515500	CEBIP	K13473	-
109	sbi00360	Phenylalanine metabolism 	Sb02g001130	Sobic.002G010700	E1.11.1.7	K00430	EC:1.11.1.7
110	sbi00940	Phenylpropanoid biosynthesis 	Sb02g001130	Sobic.002G010700	E1.11.1.7	K00430	EC:1.11.1.7
117	sbi00908	Zeatin biosynthesis 	Sb01g003950	Sobic.002G076700	IPT	K10760	-
